t_w	t_dim	d_s	k	seed_j	epoch	acc	delta	prec	rec	f1	ov	ov_delta	p_val	p_ov_val
5000	30	2	7	7	7	0.8889	0.0370	0.9167	0.8462	0.8800	0.8925	-0.0023	0.755167511489378	0.941599085663042
5000	30	3	2	144000	15	0.8214	-0.0304	0.9091	0.7143	0.8000	0.8395	-0.0552	0.42323623731941795	0.9361295807596374
5000	30	4	1	144000	19	0.8214	-0.0304	0.8462	0.7857	0.8148	0.8253	-0.0694	0.9999998441385163	0.9995313917682336
5000	40	0	6	7	17	0.7778	0	1.0000	0.5714	0.7273	0.8375	0	0.0	0.0
5000	40	1	2	7	19	0.7500	-0.0278	1.0000	0.5000	0.6667	0.8083	-0.0292	0.9957886633850763	0.9999999999954763
5000	40	2	2	144000	18	0.8571	0.0794	0.9167	0.7857	0.8462	0.8704	0.0329	0.23252060322633689	0.9951109189029573
5000	40	3	2	144000	10	0.7143	-0.0635	1.0000	0.4286	0.6000	0.7771	-0.0604	0.8253823234390166	0.9887933072028621
5000	40	4	2	144000	18	0.8929	0.1151	0.9231	0.8571	0.8889	0.9000	0.0625	0.999998139760505	0.9999994210504648
5000	50	0	2	144000	16	0.7143	0	1.0000	0.4286	0.6000	0.7771	0	0.0	0.0
5000	50	1	7	777	16	0.7407	0.0265	1.0000	0.4615	0.6316	0.7927	0.0156	0.9536563015009927	0.8474587978090139
5000	50	2	2	144000	17	0.7857	0.0714	1.0000	0.5714	0.7273	0.8383	0.0612	0.01902310793917679	0.25448405765963134
5000	50	3	6	777	18	0.8148	0.1005	1.0000	0.6429	0.7826	0.8666	0.0894	0.831822835814567	0.693360739277645
5000	50	4	6	144000	16	0.7778	0.0635	0.8333	0.7143	0.7692	0.7911	0.0140	0.001489492108917897	0.32371113426092185
